SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG,game_phase,comparable_name,season,possessions_estimate,net_rating_estimate,game_number,rolling_net_rating
2020-21,1610612751,BKN,Brooklyn Nets,22000499,2021-02-25,BKN vs. ORL,W,48.0,49,92,0.533,20,45,0.444,11,14,0.786,7,44,51,30,13.0,11,2,1,18,10,129,37.0,1,1,1,1,5,9,15,21,3,3,20,66,69,40,50,2,8,19,29,4,65,1,26,71,14,1,1.0,regular,Brooklyn Nets 2020-21,2020-21,104.16,35.522273425499236,34,7.56185259937903
2020-21,1610612751,BKN,Brooklyn Nets,22000519,2021-02-27,BKN vs. DAL,L,48.0,35,86,0.407,14,44,0.318,14,19,0.737,14,33,47,21,19.0,5,4,8,16,15,98,-17.0,1,49,49,49,5,66,40,68,35,7,57,55,47,57,3,45,25,58,64,50,46,64,10,56,69,68,1.0,regular,Brooklyn Nets 2020-21,2020-21,99.36,-17.10950080515298,35,7.382296087010746
2020-21,1610612751,BKN,Brooklyn Nets,22000534,2021-03-01,BKN @ SAS,W,53.0,47,100,0.47,17,41,0.415,13,17,0.765,13,38,51,35,5.0,6,8,3,13,16,124,11.0,1,1,1,1,2,15,2,52,15,15,29,60,53,48,5,20,8,2,1,33,8,14,5,51,24,21,1.0,regular,Brooklyn Nets 2020-21,2020-21,99.48,11.057498994772818,36,9.587606162417655
2020-21,1610612751,BKN,Brooklyn Nets,22000546,2021-03-03,BKN @ HOU,W,48.0,49,85,0.576,17,35,0.486,17,24,0.708,10,43,53,33,15.0,5,1,5,24,18,132,18.0,1,1,1,1,5,9,44,5,15,40,10,40,29,62,23,6,4,9,40,50,70,41,60,38,9,9,1.0,regular,Brooklyn Nets 2020-21,2020-21,100.56,17.899761336515514,37,10.329364266719102
2020-21,1610612751,BKN,Brooklyn Nets,22000569,2021-03-11,BKN vs. BOS,W,48.0,42,88,0.477,19,42,0.452,18,22,0.818,11,34,45,21,15.0,3,5,10,22,13,121,12.0,1,1,1,1,5,39,32,46,7,11,18,33,37,33,15,39,32,58,40,61,31,69,54,65,33,18,1.0,regular,Brooklyn Nets 2020-21,2020-21,101.68,11.801730920535011,38,9.917777059147136
2020-21,1610612751,BKN,Brooklyn Nets,22000587,2021-03-13,BKN vs. DET,W,48.0,39,80,0.488,6,27,0.222,16,22,0.727,5,30,35,22,12.0,8,7,8,16,16,100,5.0,1,1,1,1,5,57,61,37,70,69,68,45,37,59,64,63,65,56,26,22,14,64,10,51,68,34,1.0,regular,Brooklyn Nets 2020-21,2020-21,96.68,5.171700455109639,39,9.338018504737875
2020-21,1610612751,BKN,Brooklyn Nets,22000604,2021-03-15,BKN vs. NYK,W,48.0,44,76,0.579,12,29,0.414,17,22,0.773,3,38,41,29,15.0,3,6,2,19,22,117,5.0,1,1,1,1,5,25,69,4,50,63,30,40,37,46,70,20,49,28,40,61,19,6,37,15,36,34,1.0,regular,Brooklyn Nets 2020-21,2020-21,97.68,5.118755118755118,40,9.427061035640872
2020-21,1610612751,BKN,Brooklyn Nets,22000617,2021-03-17,BKN @ IND,W,48.0,42,87,0.483,9,27,0.333,31,40,0.775,15,35,50,22,18.0,10,2,3,20,28,124,9.0,1,1,1,1,5,39,35,42,64,69,53,1,1,45,2,35,14,56,61,9,65,14,45,2,24,25,1.0,regular,Brooklyn Nets 2020-21,2020-21,107.6,8.364312267657994,41,9.087776144407526
2020-21,1610612751,BKN,Brooklyn Nets,22000633,2021-03-19,BKN @ ORL,L,48.0,43,91,0.473,10,37,0.27,17,23,0.739,9,30,39,24,8.0,9,3,1,16,20,113,-8.0,1,49,49,49,5,34,20,48,60,30,67,40,33,56,32,63,57,46,6,15,57,1,10,27,46,60,1.0,regular,Brooklyn Nets 2020-21,2020-21,100.12,-7.990411506192569,42,7.877888650320725
2020-21,1610612751,BKN,Brooklyn Nets,22000647,2021-03-21,BKN vs. WAS,W,48.0,44,90,0.489,9,29,0.31,16,22,0.727,10,25,35,24,7.0,11,8,4,18,22,113,7.0,1,1,1,1,5,25,25,34,64,63,61,45,37,59,23,70,65,46,5,4,8,29,26,15,46,29,1.0,regular,Brooklyn Nets 2020-21,2020-21,96.68,7.240380637153495,43,7.70765008446533
