PLAYER_ID,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT,MIN_PullUpShot_dup,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_PTS,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_EFG_PCT,season,MIN_Drives_dup,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT,MIN_PostTouch_dup,TOUCHES,POST_TOUCHES,POST_TOUCH_FGM,POST_TOUCH_FGA,POST_TOUCH_FG_PCT,POST_TOUCH_FTM,POST_TOUCH_FTA,POST_TOUCH_FT_PCT,POST_TOUCH_PTS,POST_TOUCH_PTS_PCT,POST_TOUCH_PASSES,POST_TOUCH_PASSES_PCT,POST_TOUCH_AST,POST_TOUCH_AST_PCT,POST_TOUCH_TOV,POST_TOUCH_TOV_PCT,POST_TOUCH_FOULS,POST_TOUCH_FOULS_PCT
2039,1757.0,0,0,,0,,,,,1757.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,82.0,0,0,,0,,,,,82.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,2540.0,0,0,,0,,,,,2540.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,955.0,0,0,,0,,,,,955.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,158.0,0,0,,0,,,,,158.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,23.0,0,0,,0,,,,,23.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2052,1158.0,0,0,,0,,,,,1158.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,372.0,0,0,,0,,,,,372.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2067,978.0,0,0,,0,,,,,978.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2072,134.0,0,0,,0,,,,,134.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2073,618.0,0,0,,0,,,,,618.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2124,178.0,0,0,,0,,,,,178.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2137,130.0,0,0,,0,,,,,130.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2198,1714.0,0,0,,0,,,,,1714.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2199,2059.0,0,0,,0,,,,,2059.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,3037.0,0,0,,0,,,,,3037.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2202,2715.0,0,0,,0,,,,,2715.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203,2374.0,0,0,,0,,,,,2374.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2205,181.0,0,0,,0,,,,,181.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2207,2554.0,0,0,,0,,,,,2554.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2209,1169.0,0,0,,0,,,,,1169.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,2459.0,0,0,,0,,,,,2459.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2211,466.0,0,0,,0,,,,,466.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2215,593.0,0,0,,0,,,,,593.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2216,2724.0,0,0,,0,,,,,2724.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2217,1331.0,0,0,,0,,,,,1331.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2222,2693.0,0,0,,0,,,,,2693.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2223,1937.0,0,0,,0,,,,,1937.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2225,2528.0,0,0,,0,,,,,2528.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2230,1549.0,0,0,,0,,,,,1549.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2240,1796.0,0,0,,0,,,,,1796.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2243,88.0,0,0,,0,,,,,88.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2246,168.0,0,0,,0,,,,,168.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248,1567.0,0,0,,0,,,,,1567.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250,16.0,0,0,,0,,,,,16.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2260,181.0,0,0,,0,,,,,181.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2294,171.0,0,0,,0,,,,,171.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2306,1185.0,0,0,,0,,,,,1185.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,732.0,0,0,,0,,,,,732.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2397,91.0,0,0,,0,,,,,91.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,1683.0,0,0,,0,,,,,1683.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,860.0,0,0,,0,,,,,860.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2403,2291.0,0,0,,0,,,,,2291.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404,995.0,0,0,,0,,,,,995.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405,2870.0,0,0,,0,,,,,2870.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2406,867.0,0,0,,0,,,,,867.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2407,601.0,0,0,,0,,,,,601.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408,366.0,0,0,,0,,,,,366.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2419,2562.0,0,0,,0,,,,,2562.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2420,1571.0,0,0,,0,,,,,1571.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2422,2554.0,0,0,,0,,,,,2554.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2427,319.0,0,0,,0,,,,,319.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2429,463.0,0,0,,0,,,,,463.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,1882.0,0,0,,0,,,,,1882.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2431,373.0,0,0,,0,,,,,373.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,1020.0,0,0,,0,,,,,1020.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,71.0,0,0,,0,,,,,71.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446,770.0,0,0,,0,,,,,770.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449,2412.0,0,0,,0,,,,,2412.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,798.0,0,0,,0,,,,,798.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544,3063.0,0,0,,0,,,,,3063.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545,1686.0,0,0,,0,,,,,1686.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546,2751.0,0,0,,0,,,,,2751.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547,2795.0,0,0,,0,,,,,2795.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548,2823.0,0,0,,0,,,,,2823.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549,838.0,0,0,,0,,,,,838.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550,2157.0,0,0,,0,,,,,2157.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551,773.0,0,0,,0,,,,,773.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554,1107.0,0,0,,0,,,,,1107.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2555,1524.0,0,0,,0,,,,,1524.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2556,22.0,0,0,,0,,,,,22.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557,2159.0,0,0,,0,,,,,2159.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2561,2451.0,0,0,,0,,,,,2451.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2562,362.0,0,0,,0,,,,,362.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2563,589.0,0,0,,0,,,,,589.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
