PLAYER_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,season
101115,Andrew Bynum,1610612754,IND,C,26.0,26,26,1.0,3.31,7.92,0.417,0.469,-0.051,2013-14
202697,Iman Shumpert,1610612752,NYK,G-F,24.0,74,74,1.0,3.72,7.92,0.469,0.447,0.022,2013-14
203090,Maurice Harkless,1610612753,ORL,F,21.0,80,80,1.0,3.45,7.91,0.436,0.444,-0.008,2013-14
203106,Jeffery Taylor,1610612766,CHA,F,25.0,25,25,1.0,3.08,7.88,0.391,0.441,-0.05,2013-14
201571,D.J. Augustin,1610612741,CHI,G,26.0,68,68,1.0,3.41,7.84,0.435,0.426,0.009,2013-14
201880,Greg Stiemsma,1610612740,NOP,C,28.0,55,55,1.0,3.96,7.84,0.506,0.474,0.032,2013-14
201156,Nick Young,1610612747,LAL,F-G,29.0,64,64,1.0,3.48,7.84,0.444,0.447,-0.003,2013-14
203088,Kendall Marshall,1610612747,LAL,G,22.0,54,54,1.0,3.76,7.81,0.481,0.438,0.043,2013-14
202344,Trevor Booker,1610612764,WAS,F,26.0,71,71,1.0,3.58,7.8,0.458,0.462,-0.004,2013-14
203489,Nate Wolters,1610612749,MIL,G,23.0,54,54,1.0,3.52,7.78,0.452,0.433,0.019,2013-14
2590,Mo Williams,1610612757,POR,G,31.0,74,74,1.0,3.64,7.77,0.468,0.432,0.036,2013-14
2223,Samuel Dalembert,1610612742,DAL,C,34.0,80,80,1.0,3.66,7.76,0.472,0.484,-0.013,2013-14
2747,JR Smith,1610612752,NYK,G-F,28.0,74,74,1.0,3.66,7.73,0.474,0.446,0.028,2013-14
2365,Chris Andersen,1610612748,MIA,F-C,35.0,72,72,1.0,3.39,7.72,0.439,0.468,-0.029,2013-14
203124,Kyle O'Quinn,1610612753,ORL,F,24.0,65,65,1.0,3.37,7.72,0.436,0.461,-0.025,2013-14
101110,Martell Webster,1610612764,WAS,F-G,27.0,77,77,1.0,3.43,7.71,0.444,0.44,0.004,2013-14
201166,Aaron Brooks,1610612743,DEN,G,29.0,69,69,1.0,3.55,7.68,0.462,0.436,0.026,2013-14
202337,Luke Babbitt,1610612740,NOP,F,25.0,26,26,1.0,3.38,7.65,0.442,0.449,-0.007,2013-14
203544,Pero Antic,1610612737,ATL,C,31.0,46,46,1.0,3.85,7.61,0.506,0.469,0.036,2013-14
