comparable_name,team_id,season,n_seasons_lookback,half_life_seasons,team_game_score,DiffPointsPG
LAC 2010-11,1610612746,2010-11,4,4.0,41.586416101779065,-3.1
LAL 2010-11,1610612747,2010-11,1,0.5,91.3686133627573,6.1
LAL 2010-11,1610612747,2010-11,1,1.0,91.3686133627573,6.1
LAL 2010-11,1610612747,2010-11,1,1.5,91.3686133627573,6.1
LAL 2010-11,1610612747,2010-11,1,2.5,91.3686133627573,6.1
LAL 2010-11,1610612747,2010-11,1,4.0,91.3686133627573,6.1
LAL 2010-11,1610612747,2010-11,2,0.5,92.87110338614113,6.1
LAL 2010-11,1610612747,2010-11,2,1.0,93.87276340173037,6.1
LAL 2010-11,1610612747,2010-11,2,1.5,94.27208675788658,6.1
LAL 2010-11,1610612747,2010-11,2,2.5,94.60742538923405,6.1
LAL 2010-11,1610612747,2010-11,2,4.0,94.80019828016238,6.1
LAL 2010-11,1610612747,2010-11,3,0.5,93.22260123060244,6.1
LAL 2010-11,1610612747,2010-11,3,1.0,94.78416264717296,6.1
LAL 2010-11,1610612747,2010-11,3,1.5,95.44306514764335,6.1
LAL 2010-11,1610612747,2010-11,3,2.5,95.99764362463883,6.1
LAL 2010-11,1610612747,2010-11,3,4.0,96.3133049440329,6.1
LAL 2010-11,1610612747,2010-11,4,0.5,93.24053713455693,6.1
LAL 2010-11,1610612747,2010-11,4,1.0,94.78169534181039,6.1
LAL 2010-11,1610612747,2010-11,4,1.5,95.36665211360959,6.1
LAL 2010-11,1610612747,2010-11,4,2.5,95.8009639411667,6.1
LAL 2010-11,1610612747,2010-11,4,4.0,96.01697786567311,6.1
MEM 2010-11,1610612763,2010-11,1,0.5,65.63773136723985,2.3
MEM 2010-11,1610612763,2010-11,1,1.0,65.63773136723985,2.3
MEM 2010-11,1610612763,2010-11,1,1.5,65.63773136723985,2.3
MEM 2010-11,1610612763,2010-11,1,2.5,65.63773136723985,2.3
MEM 2010-11,1610612763,2010-11,1,4.0,65.63773136723985,2.3
MEM 2010-11,1610612763,2010-11,2,0.5,64.85968631337069,2.3
MEM 2010-11,1610612763,2010-11,2,1.0,64.34098961079125,2.3
MEM 2010-11,1610612763,2010-11,2,1.5,64.13420516808856,2.3
MEM 2010-11,1610612763,2010-11,2,2.5,63.96055438876189,2.3
MEM 2010-11,1610612763,2010-11,2,4.0,63.86072943686701,2.3
MEM 2010-11,1610612763,2010-11,3,0.5,64.756143733549,2.3
MEM 2010-11,1610612763,2010-11,3,1.0,64.07026858645045,2.3
MEM 2010-11,1610612763,2010-11,3,1.5,63.78495955730284,2.3
MEM 2010-11,1610612763,2010-11,3,2.5,63.544320852993316,2.3
MEM 2010-11,1610612763,2010-11,3,4.0,63.40660528146417,2.3
MEM 2010-11,1610612763,2010-11,4,0.5,64.74051145879653,2.3
MEM 2010-11,1610612763,2010-11,4,1.0,64.00809068527685,2.3
MEM 2010-11,1610612763,2010-11,4,1.5,63.70024308961416,2.3
MEM 2010-11,1610612763,2010-11,4,2.5,63.44386730145407,2.3
MEM 2010-11,1610612763,2010-11,4,4.0,63.2998450755966,2.3
MIA 2010-11,1610612748,2010-11,1,0.5,98.04891702433153,7.5
MIA 2010-11,1610612748,2010-11,1,1.0,98.04891702433153,7.5
MIA 2010-11,1610612748,2010-11,1,1.5,98.04891702433153,7.5
MIA 2010-11,1610612748,2010-11,1,2.5,98.04891702433153,7.5
MIA 2010-11,1610612748,2010-11,1,4.0,98.04891702433153,7.5
MIA 2010-11,1610612748,2010-11,2,0.5,98.66338471514386,7.5
MIA 2010-11,1610612748,2010-11,2,1.0,99.07302984235211,7.5
MIA 2010-11,1610612748,2010-11,2,1.5,99.23633961261741,7.5
