comparable_name,team_id,season,x_game_score_vs_baseline,WINS,LOSSES,y_actual_diff_points_pg
PHX 2014-15,1610612756,2014-15,-7.7544033271006185,39,43,-0.9
POR 2014-15,1610612757,2014-15,17.84608650505703,51,31,4.2
SAC 2014-15,1610612758,2014-15,-8.623183746434066,29,53,-3.7
SAS 2014-15,1610612759,2014-15,24.50707624849636,55,27,6.2
TOR 2014-15,1610612761,2014-15,27.734967874896086,49,33,3.1
UTA 2014-15,1610612762,2014-15,-37.70316560814351,38,44,0.2
WAS 2014-15,1610612764,2014-15,-0.35380076437184016,46,36,0.7
ATL 2015-16,1610612737,2015-16,20.592406036856943,48,34,3.6
BOS 2015-16,1610612738,2015-16,27.349640339194224,48,34,3.2
BKN 2015-16,1610612751,2015-16,-24.64868461964538,21,61,-7.4
CHA 2015-16,1610612766,2015-16,5.576615602366758,48,34,2.7
CHI 2015-16,1610612741,2015-16,9.218353030720223,42,40,-1.5
CLE 2015-16,1610612739,2015-16,21.77141355855244,57,25,6.0
DAL 2015-16,1610612742,2015-16,15.013028296421567,42,40,-0.3
DEN 2015-16,1610612743,2015-16,-23.026236694770603,33,49,-3.1
DET 2015-16,1610612765,2015-16,6.768136467944657,44,38,0.6
GSW 2015-16,1610612744,2015-16,40.807750255203246,73,9,10.8
HOU 2015-16,1610612745,2015-16,14.204876863102427,41,41,0.2
IND 2015-16,1610612754,2015-16,-0.05587850661453331,45,37,1.7
LAC 2015-16,1610612746,2015-16,33.83179712908648,53,29,4.3
LAL 2015-16,1610612747,2015-16,-48.51387145269858,17,65,-9.6
MEM 2015-16,1610612763,2015-16,4.859614021420356,42,40,-2.2
MIA 2015-16,1610612748,2015-16,-23.157097822223747,48,34,1.6
MIL 2015-16,1610612749,2015-16,7.175128095094891,33,49,-4.2
MIN 2015-16,1610612750,2015-16,-47.28701621176595,29,53,-3.5
NOP 2015-16,1610612740,2015-16,0.8686371302569569,30,52,-3.8
NYK 2015-16,1610612752,2015-16,-35.47894508356499,32,50,-2.7
OKC 2015-16,1610612760,2015-16,0.3707003658557113,55,27,7.3
